Landmark,X,Y,Z,Visibility
0,0.22959181666374207,0.6684607267379761,2.6900625016423874e-07,0.0
1,0.2712242007255554,0.6328514814376831,0.0037287194281816483,0.0
2,0.3002610504627228,0.5837660431861877,-0.001286607701331377,0.0
3,0.32713034749031067,0.5531842708587646,-0.009663422591984272,0.0
4,0.3390599191188812,0.5328680872917175,-0.01762019470334053,0.0
5,0.2463548481464386,0.4916386604309082,-0.011217407882213593,0.0
6,0.2616707682609558,0.40365248918533325,-0.029473884031176567,0.0
7,0.26846200227737427,0.3458711802959442,-0.04433027654886246,0.0
8,0.2763969302177429,0.30309048295021057,-0.054970916360616684,0.0
9,0.23929300904273987,0.5021336078643799,-0.024584181606769562,0.0
10,0.3010362982749939,0.4301186501979828,-0.054729823023080826,0.0
11,0.3333744704723358,0.4602702856063843,-0.07222797721624374,0.0
12,0.3476067781448364,0.503278374671936,-0.0778537392616272,0.0
13,0.24016138911247253,0.522467851638794,-0.03676264360547066,0.0
14,0.2868194580078125,0.4597132205963135,-0.06069306656718254,0.0
15,0.3241318166255951,0.4829302132129669,-0.07005374133586884,0.0
16,0.34317123889923096,0.5167559385299683,-0.07056770473718643,0.0
17,0.2489803433418274,0.5517764091491699,-0.048126086592674255,0.0
18,0.28383901715278625,0.5043871998786926,-0.059295013546943665,0.0
19,0.3147173523902893,0.5067618489265442,-0.060433268547058105,0.0
20,0.3342345058917999,0.5211148262023926,-0.059088390320539474,0.0
