Landmark,X,Y,Z,Visibility
0,0.33993297815322876,0.5852512717247009,4.375576452275709e-07,0.0
1,0.38089701533317566,0.48062753677368164,0.004631976131349802,0.0
2,0.4440174698829651,0.4422459006309509,0.006817368790507317,0.0
3,0.4896966516971588,0.4677902162075043,0.009207997471094131,0.0
4,0.5108043551445007,0.5061299204826355,0.011735068634152412,0.0
5,0.4841473400592804,0.4526139795780182,-0.019372476264834404,0.0
6,0.5673778057098389,0.4255015552043915,-0.023946700617671013,0.0
7,0.6126798391342163,0.4182402789592743,-0.022108303382992744,0.0
8,0.6473842263221741,0.41750314831733704,-0.018577681854367256,0.0
9,0.49334782361984253,0.5293163657188416,-0.021549446508288383,0.0
10,0.5763497352600098,0.49591195583343506,-0.024162977933883667,0.0
11,0.6252451539039612,0.48179736733436584,-0.024605505168437958,0.0
12,0.6610100865364075,0.4806847870349884,-0.023962004110217094,0.0
13,0.4900359511375427,0.6006040573120117,-0.020249102264642715,0.0
14,0.5179740786552429,0.5598923563957214,-0.018899116665124893,0.0
15,0.4992481768131256,0.5358953475952148,-0.01533864252269268,0.0
16,0.47493118047714233,0.5297273993492126,-0.010698535479605198,0.0
17,0.4809507727622986,0.6515670418739319,-0.018519530072808266,0.0
18,0.48903006315231323,0.604293704032898,-0.012354311533272266,0.0
19,0.4725807011127472,0.5813308954238892,-0.003976542502641678,0.0
20,0.45520803332328796,0.5789541006088257,0.003981597255915403,0.0
