Landmark,X,Y,Z,Visibility
0,0.41852885484695435,0.6195051670074463,-8.193474343443086e-08,0.0
1,0.38888639211654663,0.5811628699302673,-0.009399550966918468,0.0
2,0.3646642565727234,0.5107782483100891,-0.013790239579975605,0.0
3,0.34146741032600403,0.4713512361049652,-0.019482774659991264,0.0
4,0.31733307242393494,0.4559606909751892,-0.02537059783935547,0.0
5,0.3981708288192749,0.46463239192962646,-0.008167272433638573,0.0
6,0.3936680555343628,0.39384177327156067,-0.02022184617817402,0.0
7,0.3922139108181,0.3486919701099396,-0.02701065130531788,0.0
8,0.3904763162136078,0.3072121739387512,-0.03194214776158333,0.0
9,0.41602927446365356,0.46798527240753174,-0.011205766350030899,0.0
10,0.4114340841770172,0.4435168504714966,-0.039930883795022964,0.0
11,0.40623053908348083,0.497795432806015,-0.04935236647725105,0.0
12,0.40302085876464844,0.5385064482688904,-0.04882567748427391,0.0
13,0.435234934091568,0.4790862798690796,-0.01538295391947031,0.0
14,0.42967262864112854,0.4588177800178528,-0.04194921255111694,0.0
15,0.4215289056301117,0.5106492638587952,-0.04091041162610054,0.0
16,0.4151477813720703,0.5498844981193542,-0.03203362971544266,0.0
17,0.45424729585647583,0.4927227199077606,-0.020070331171154976,0.0
18,0.46035006642341614,0.4371967017650604,-0.0360906608402729,0.0
19,0.46279090642929077,0.3988036513328552,-0.037096016108989716,0.0
20,0.4625928997993469,0.36115899682044983,-0.03396247327327728,0.0
