Landmark,X,Y,Z,Visibility
0,0.6599816083908081,0.3120163679122925,-1.99811012180362e-07,0.0
1,0.6330913305282593,0.2694527506828308,-0.01172167994081974,0.0
2,0.6222677826881409,0.2104531079530716,-0.01843286119401455,0.0
3,0.6290775537490845,0.15834853053092957,-0.02583591639995575,0.0
4,0.6431775689125061,0.11881168931722641,-0.031274501234292984,0.0
5,0.6267536282539368,0.17644137144088745,-0.0027252540457993746,0.0
6,0.6217454075813293,0.13227441906929016,-0.025607705116271973,0.0
7,0.6277223825454712,0.15733018517494202,-0.04078538343310356,0.0
8,0.6316112279891968,0.19275926053524017,-0.04654162377119064,0.0
9,0.6497867703437805,0.17791767418384552,-0.0038747608195990324,0.0
10,0.6506869792938232,0.14761041104793549,-0.03072364442050457,0.0
11,0.6505386233329773,0.19570030272006989,-0.04059275984764099,0.0
12,0.6480478644371033,0.24134811758995056,-0.03992362692952156,0.0
13,0.6718201041221619,0.1857217401266098,-0.008364037610590458,0.0
14,0.6722889542579651,0.17451101541519165,-0.0336432158946991,0.0
15,0.666323721408844,0.22713568806648254,-0.03399225324392319,0.0
16,0.6591776013374329,0.2696763575077057,-0.026011483743786812,0.0
17,0.6911316514015198,0.19847911596298218,-0.013801774010062218,0.0
18,0.6892274022102356,0.19194237887859344,-0.029836885631084442,0.0
19,0.6819605231285095,0.2313731461763382,-0.027968857437372208,0.0
20,0.675822913646698,0.26235702633857727,-0.021101633086800575,0.0
