Landmark,X,Y,Z,Visibility
0,0.6135119795799255,0.3968625068664551,-9.468775630239179e-08,0.0
1,0.5875888466835022,0.36184537410736084,-0.016848567873239517,0.0
2,0.5750224590301514,0.2887149453163147,-0.02560281753540039,0.0
3,0.592627763748169,0.23229338228702545,-0.035014230757951736,0.0
4,0.6208133697509766,0.2128206193447113,-0.042096469551324844,0.0
5,0.5869179964065552,0.19373853504657745,-0.004176453687250614,0.0
6,0.5865227580070496,0.13301196694374084,-0.026522880420088768,0.0
7,0.588355541229248,0.10230925679206848,-0.038647085428237915,0.0
8,0.5954136848449707,0.08538706600666046,-0.04521617293357849,0.0
9,0.6154202818870544,0.20072191953659058,-0.007449284661561251,0.0
10,0.6213430166244507,0.17069615423679352,-0.03840392455458641,0.0
11,0.6056618690490723,0.22825980186462402,-0.04316955804824829,0.0
12,0.600648820400238,0.2503296136856079,-0.03714241087436676,0.0
13,0.6394316554069519,0.22410166263580322,-0.01525272335857153,0.0
14,0.6366233229637146,0.23492173850536346,-0.041773103177547455,0.0
15,0.6182011961936951,0.2880990207195282,-0.03487188741564751,0.0
16,0.615895688533783,0.2900528907775879,-0.02253936417400837,0.0
17,0.6599301099777222,0.25690069794654846,-0.02560908906161785,0.0
18,0.6509091854095459,0.27756205201148987,-0.0392560213804245,0.0
19,0.6343441605567932,0.3155599534511566,-0.034186482429504395,0.0
20,0.631249189376831,0.3149402141571045,-0.026404304429888725,0.0
