Landmark,X,Y,Z,Visibility
0,0.5867900252342224,0.4453772306442261,-3.516600486364041e-07,0.0
1,0.5565096735954285,0.3791719973087311,0.017344320192933083,0.0
2,0.543835461139679,0.3235197961330414,0.018883192911744118,0.0
3,0.5318909883499146,0.27932947874069214,0.011905030347406864,0.0
4,0.5243991017341614,0.2349027395248413,0.004635391756892204,0.0
5,0.5982720255851746,0.2836240530014038,0.03133387863636017,0.0
6,0.5839422941207886,0.21331587433815002,0.02184341661632061,0.0
7,0.5565027594566345,0.20465318858623505,0.011728641577064991,0.0
8,0.5376147627830505,0.21891999244689941,0.006517397705465555,0.0
9,0.6084845066070557,0.2846890687942505,0.013591871596872807,0.0
10,0.5881593227386475,0.194397434592247,0.005615031346678734,0.0
11,0.553226888179779,0.1908656358718872,-0.002357294550165534,0.0
12,0.5338068604469299,0.2132876217365265,-0.006417896598577499,0.0
13,0.6099914312362671,0.29020601511001587,-0.005807796027511358,0.0
14,0.5942519903182983,0.1969068944454193,-0.012559288181364536,0.0
15,0.5592584013938904,0.19336488842964172,-0.014076661318540573,0.0
16,0.539682149887085,0.2143142968416214,-0.013620918616652489,0.0
17,0.6011906266212463,0.29672539234161377,-0.024595482274889946,0.0
18,0.5901368856430054,0.21871142089366913,-0.029020298272371292,0.0
19,0.5668129920959473,0.20379526913166046,-0.027416246011853218,0.0
20,0.5491480231285095,0.2145175188779831,-0.02498774230480194,0.0
