Landmark,X,Y,Z,Visibility
0,0.6766871809959412,0.41303014755249023,-2.8369498750180355e-07,0.0
1,0.6424121856689453,0.37260448932647705,-0.009518243372440338,0.0
2,0.6199508309364319,0.30887284874916077,-0.013651053421199322,0.0
3,0.6142207980155945,0.255429208278656,-0.01931365579366684,0.0
4,0.6244003176689148,0.21529754996299744,-0.02189496159553528,0.0
5,0.6449819207191467,0.26614847779273987,-0.00010279502021148801,0.0
6,0.6436046361923218,0.23565971851348877,-0.016151022166013718,0.0
7,0.6446971297264099,0.27960970997810364,-0.02285022661089897,0.0
8,0.6437035202980042,0.31545767188072205,-0.023662926629185677,0.0
9,0.667754590511322,0.26879045367240906,-0.0014585531316697598,0.0
10,0.6655938625335693,0.246877983212471,-0.023776529356837273,0.0
11,0.6634684801101685,0.3016510009765625,-0.03107096254825592,0.0
12,0.6598919630050659,0.3405982255935669,-0.0301272701472044,0.0
13,0.6898787617683411,0.2763632535934448,-0.005750575102865696,0.0
14,0.6879426836967468,0.255174458026886,-0.027998726814985275,0.0
15,0.6810169816017151,0.3064463436603546,-0.029153523966670036,0.0
16,0.6739956140518188,0.3462109863758087,-0.022421302273869514,0.0
17,0.7099640369415283,0.2860153019428253,-0.010581833310425282,0.0
18,0.717524528503418,0.23610270023345947,-0.02301696501672268,0.0
19,0.7205854058265686,0.20290596783161163,-0.025835072621703148,0.0
20,0.7201005220413208,0.17236655950546265,-0.024375664070248604,0.0
