Landmark,X,Y,Z,Visibility
0,0.3304619789123535,0.672042965888977,-2.908652163569059e-07,0.0
1,0.36160314083099365,0.6369744539260864,-0.00799329113215208,0.0
2,0.3795797824859619,0.5596181750297546,-0.01006383541971445,0.0
3,0.393206387758255,0.5057923793792725,-0.013510762713849545,0.0
4,0.41273432970046997,0.47450992465019226,-0.013676181435585022,0.0
5,0.36877068877220154,0.517627477645874,0.0010719459969550371,0.0
6,0.37735092639923096,0.45720192790031433,-0.017198940739035606,0.0
7,0.37664246559143066,0.5085659027099609,-0.024213610216975212,0.0
8,0.37308311462402344,0.545994222164154,-0.024866897612810135,0.0
9,0.3476185202598572,0.521068274974823,-0.000934731971938163,0.0
10,0.3564055263996124,0.47239089012145996,-0.020344022661447525,0.0
11,0.3568964898586273,0.5388180017471313,-0.02117680385708809,0.0
12,0.3544517457485199,0.5700972676277161,-0.015907617285847664,0.0
13,0.3253646492958069,0.5308753252029419,-0.006534759420901537,0.0
14,0.33714526891708374,0.48989081382751465,-0.025427531450986862,0.0
15,0.33884939551353455,0.5529314875602722,-0.017967958003282547,0.0
16,0.3352023959159851,0.5785098075866699,-0.0069746156223118305,0.0
17,0.30266648530960083,0.544407069683075,-0.012978309765458107,0.0
18,0.3160926401615143,0.516791582107544,-0.02216154895722866,0.0
19,0.3186090290546417,0.5560203194618225,-0.015335450880229473,0.0
20,0.3138852119445801,0.5709113478660583,-0.007287965156137943,0.0
