Landmark,X,Y,Z,Visibility
0,0.6400911211967468,0.46405425667762756,-4.1050199683922983e-07,0.0
1,0.6014694571495056,0.406907320022583,-0.011741532944142818,0.0
2,0.5924080014228821,0.3154667615890503,-0.02026190236210823,0.0
3,0.6184035539627075,0.2523687481880188,-0.03040984272956848,0.0
4,0.6429793238639832,0.2014150172472,-0.03808584809303284,0.0
5,0.6056708693504333,0.25996285676956177,-0.005541137419641018,0.0
6,0.5884280800819397,0.20802786946296692,-0.03787233307957649,0.0
7,0.5806933641433716,0.2666391134262085,-0.05611459165811539,0.0
8,0.5845438241958618,0.31731274724006653,-0.06265836209058762,0.0
9,0.6348894238471985,0.2590732276439667,-0.012015744112432003,0.0
10,0.6168867349624634,0.18523386120796204,-0.04661373049020767,0.0
11,0.6044921875,0.2597426176071167,-0.05577416718006134,0.0
12,0.610687792301178,0.31067052483558655,-0.05162147060036659,0.0
13,0.6652190089225769,0.2748734652996063,-0.02253243885934353,0.0
14,0.6470536589622498,0.23242655396461487,-0.05139214172959328,0.0
15,0.6342155337333679,0.31424301862716675,-0.043442316353321075,0.0
16,0.640695333480835,0.35105305910110474,-0.02877260185778141,0.0
17,0.6943507790565491,0.2991675138473511,-0.03452365845441818,0.0
18,0.6712919473648071,0.27483421564102173,-0.04728870466351509,0.0
19,0.6597160696983337,0.32444703578948975,-0.03714797645807266,0.0
20,0.6668756604194641,0.34106865525245667,-0.024947836995124817,0.0
