Landmark,X,Y,Z,Visibility
0,0.6633136868476868,0.400325745344162,-2.855944671864563e-07,0.0
1,0.6352859139442444,0.35606682300567627,-0.009867016226053238,0.0
2,0.6293166875839233,0.2880420386791229,-0.01669790782034397,0.0
3,0.6516296863555908,0.24419663846492767,-0.024337410926818848,0.0
4,0.6714909076690674,0.2091558575630188,-0.029866639524698257,0.0
5,0.6348827481269836,0.2512795627117157,-0.005792323499917984,0.0
6,0.6261740922927856,0.20826004445552826,-0.029090728610754013,0.0
7,0.6229493618011475,0.25426074862480164,-0.042149968445301056,0.0
8,0.6261482238769531,0.29089459776878357,-0.04703514650464058,0.0
9,0.6584311723709106,0.25127342343330383,-0.009958677925169468,0.0
10,0.6497471928596497,0.19135630130767822,-0.03534786030650139,0.0
11,0.6427658796310425,0.24815189838409424,-0.04251489415764809,0.0
12,0.6467322707176208,0.284867525100708,-0.03997286036610603,0.0
13,0.6824867129325867,0.26406776905059814,-0.016893835738301277,0.0
14,0.6738430857658386,0.22787214815616608,-0.037391871213912964,0.0
15,0.664280891418457,0.28928342461586,-0.03112061507999897,0.0
16,0.6660954356193542,0.31676244735717773,-0.020386677235364914,0.0
17,0.7058307528495789,0.2826080024242401,-0.025014396756887436,0.0
18,0.6927897930145264,0.2619185745716095,-0.033394746482372284,0.0
19,0.6836167573928833,0.2981621026992798,-0.025190560147166252,0.0
20,0.6855328679084778,0.31079959869384766,-0.016015779227018356,0.0
